Country,GDP/Capita,Footprint
Argentina,13330,2.6
Bolivia,4092,2.6
Brazil,9890,2.9
Chile,13916,3.2
Colombia,8683,1.9
Costa Rica,10466,2.7
Ecuador,7024,1.9
El Salvador,7208,2.0
Guatemala,4737,1.8
Mexico,14143,3.0
Nicaragua,2856,1.6
Peru,7785,1.5
Uruguay,11469,5.1
Venezuela,12189,2.9
